Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23523213882,Combo 3 Băng vệ sinh Laurier Fresh & Free Siêu Mỏng,"118,1k",100k+,KAO Official Store,4%,₫4.723,https://shopee.vn/product/158660528/23523213882,https://s.shopee.vn/5Aop0MZNeN
19128682241,"Combo kem tẩy lông và kem dưỡng Ollie tẩy vùng kín, nách, tay, chân , an toàn không đau rát,dưỡng da phù hợp mọi loại da","170,0k",900k+,Hecatech Official Store,14%,₫23.800,https://shopee.vn/product/238383015/19128682241,https://s.shopee.vn/40crcDdp1A
28642497908,"Thùng 10 bịch Khăn Giấy Rút Treo Tường Bông Sen Việt 1200Tờ, Tặng Kèm 4 Móc Treo Tường","65,0k",40k+,Bông Sen Việt ,9%,₫5.850,https://shopee.vn/product/736393442/28642497908,https://s.shopee.vn/4AwHoWdBgD
10707015149,[CÓ SIZE MỚI] Nước Tẩy Trang làm sạch sâu dịu nhẹ cho mọi loại da - Garnier Micellar Cleansing Water 400ml & 700ml,"175,0k",2tr+,Garnier Official Store,9%,₫15.750,https://shopee.vn/product/421677475/10707015149,https://s.shopee.vn/4LFi0pcYLG
23767624300,Miếng Dán Mụn BHA FOCALSKIN Siêu Mỏng 0.01cm Hút Mụn Sạch + Giảm Sưng + Che Mụn Makeup 60M Ngày Đêm,"65,0k",100k+,FOCALSKIN Official Store,11%,₫7.150,https://shopee.vn/product/968434025/23767624300,https://s.shopee.vn/4VZ8D8bv0J
23318918089,Dầu Tắm ÔLIV 3X Dưỡng Ẩm/Dưỡng Sáng Da/Dành Cho Làn Da Nhạy Cảm 250ML/650ML/1L,"78,0k",100k+,LASHE SUPERFOOD | PURITÉ,12%,₫9.360,https://shopee.vn/product/779659055/23318918089,https://s.shopee.vn/gMPe5qVma
42868915622,Thắt Lưng Nữ Đinh Tán Ngôi Sao Cá Tính(134pu),"27,6k",30k+,Y2K..,14%,₫3.870,https://shopee.vn/product/1451294084/42868915622,https://s.shopee.vn/qfpqOpsRd
19582682628,Nhang ngải cứu hội quán diện chẩn Bùi Quốc Châu nguyên liệu chính từ cây ngải cứu - Huyền Diện Chẩn,"64,0k",10k+,huyendienchanDCO,9%,₫5.760,https://shopee.vn/product/727142878/19582682628,https://s.shopee.vn/10zG2hpF6g
28309604497,"Ốp Lưng iPhone TPU Đệm Nhung Chống bẩn, Bảo Vệ Camera - iP 6/7/8/X/XS/XR/11/12/13/14/15/16/17/Mini/Plus/Pro/Max/Air","37,5k",100k+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,20%,₫7.500,https://shopee.vn/product/89827191/28309604497,https://s.shopee.vn/1BIgF0oblj
21479773501,(Chọn Vị) Thùng Mì Omachi - Thùng 30 Gói x 80g (Bao bì có thể thay đổi theo đợt nhập hàng),"269,0k",100k+,MASAN CONSUMER OFFICIAL,6%,₫16.140,https://shopee.vn/product/987373161/21479773501,https://s.shopee.vn/16iqrt38W
26873157222,Kem Chống Nắng Make P:rem UV Defense Me NoSebum Sun Cream SPF50+ PA++++,"359,0k",200k+,Make P:rem Vietnam,11%,₫39.490,https://shopee.vn/product/147275917/26873157222,https://s.shopee.vn/BQ93AsPnZ
24184669014,"Nước Nhỏ Mắt Lens/Trang điểm Cấp Ẩm 2 Pha Cao Cấp Novotane Ultra-Dưỡng Ẩm Sâu, Giảm Khô Mỏi 10ml","55,0k",100k+,Novotane Việt Nam,7%,₫3.850,https://shopee.vn/product/691571225/24184669014,https://s.shopee.vn/LjZFTrmSc
23376275882,Lẻ khăn Lau Mặt LOTUS 100% Cotton Mềm Mịn Thấm Hút Không Ra Màu Dùng Cho Gia Đình Spa,"16,9k",60k+,Khăn Bông Lotus,14%,₫2.366,https://shopee.vn/product/233958535/23376275882,https://s.shopee.vn/W2zRmr97f
55600273319,Nạo rau củ quả hai lưỡi cao cấp thép không gỉ thương hiệu KICHIN - NK02,"88,0k",10k+,Cửa Hàng KICHIN,12%,₫10.560,https://shopee.vn/product/1353772272/55600273319,https://s.shopee.vn/20rnEXlR4y
25364539297,"Bông Tẩy Trang Alucos 222 Miếng Siêu Mềm, Dày Dặn Dùng Cực Thích, Có Giá Sỉ Cực Tốt","32,5k",60k+,Harumi - thế giới bông,12%,₫3.900,https://shopee.vn/product/1039266580/25364539297,https://s.shopee.vn/2BBDQqknk1
27076257330,Kem Chống Nắng Garnier Phổ Rộng Kiềm Dầu Đến 12H & Hỗ Trợ Giảm Mụn Spf 50+PA++++ 30ML,"185,0k",200k+,Garnier Official Store,9%,₫16.650,https://shopee.vn/product/421677475/27076257330,https://s.shopee.vn/2LUdd9kAP4
27378956445,Túi xách nữ đeo chéo đeo vai basic trẻ trung túi công sở da pu trơn kèm gấu BABUMAP _TDC027,"49,0k",10k+,Túi xách nữ babumap,9%,₫4.410,https://shopee.vn/product/1233712578/27378956445,https://s.shopee.vn/2Vo3pSjX47
40068048463,Dầu gội khô phồng tóc Grace and Glow Velvet Opium/Daisy Breeze 150ml kiềm dầu lâu bết giúp giải cứu tóc bết lưu,"129,0k",100k+,Grace And Glow Official Store,10%,₫12.900,https://shopee.vn/product/458546292/40068048463,https://s.shopee.vn/1Lc6RJnyQu
22036905355,Thùng 48 hộp Sữa pha sẵn Vinamilk Optimum Gold 110ml,"472,8k",100k+,vinamilk_official,6%,₫28.367,https://shopee.vn/product/975865932/22036905355,https://s.shopee.vn/1VvWdcnL5x
24431355998,Thùng 24 hộp sữa hạt Cao Đạm ít đường Vinamilk - hộp 180ml,"350,7k",100k+,vinamilk_official,6%,₫21.044,https://shopee.vn/product/975865932/24431355998,https://s.shopee.vn/1gEwpvmhl0
27027769813,"Keo Dán Giày Dép Siêu Chắc, Dùng Cho Tất Cả Các Loại Giày Dép , An Toàn Cho Da Tay","9,5k",20k+,Tổng Kho Sỉ Hà Nội 1,9%,₫855,https://shopee.vn/product/1160265072/27027769813,https://s.shopee.vn/1qYN2Em4Q3
26438252127,"Bộ đôi dầu gội xả ngăn ngừa & giảm gãy rụng tóc, giúp tóc chắc khỏe hơn L’oreal Paris Elseve Full Resist 440ml","449,0k",200k+,L'Oreal Paris Official Store,9%,₫40.410,https://shopee.vn/product/37251933/26438252127,https://s.shopee.vn/8pi7N6LQDQ
25020326108,[Combo 10] Tất Vớ Nam Nữ Cổ Cao Trơn UPPERYOU Êm Ái Dày Dặn Thoáng Khí - VSF4001/VSF3001,"82,0k",1tr+,Upper You ,17%,₫13.940,https://shopee.vn/product/834756665/25020326108,https://s.shopee.vn/8fOhAnM3YP
5278589476,Dầu dừa tinh khiết Organic VIETCOCO chai PET 250ml,"76,5k",1tr+,Vietcoco - Tinh Hoa Dừa Việt,14%,₫10.710,https://shopee.vn/product/60414205/5278589476,https://s.shopee.vn/9AKxliK9XW
22848586220,Đèn Bắt Muỗi Gắn Tường MiKaKo – Đèn Diệt Muỗi Thông Minh,"23,0k",10k+,Mikako.OfficialStore,12%,₫2.760,https://shopee.vn/product/577830016/22848586220,https://s.shopee.vn/901XZPKmsV
26264457790,Núm ti Greenfinger Bebegrow Hàn Quốc mềm mại 2 van thoát khí bé bú bình sữa thoải mái SS/S/M/L/LL/3L,"170,0k",50k+,Greenfinger Bebegrow Việt Nam,4%,₫6.800,https://shopee.vn/product/1377512372/26264457790,https://s.shopee.vn/8ASQZsNxZM
26770137473,Dao cạo lông mày hai đầu Amortals dao tỉa lông mày tiện lợi không gỉ an toàn cho da Mỹ Phẩm,"55,0k",60k+,Amortals Official Store,10%,₫5.500,https://shopee.vn/product/1405676280/26770137473,https://s.shopee.vn/8090NZOauL
6356903411,"Bột Cacao Nguyên Chất DK Harvest - 11-13% Bơ Cacao | Đậm Vị, Giàu Chất Chống Oxy Hóa, Cải Thiện Tâm Trạng","68,0k",100k+,DK HARVEST OFFICIAL STORE,14%,₫9.520,https://shopee.vn/product/273650958/6356903411,https://s.shopee.vn/8V5GyUMgtS
26738057496,"EMLYvn - Áo Sơ Mi Đũi Cổ Tim Phối Ren Có Nơ Dáng Babydoll, Áo Sơ Mi Nữ Kiểu Xinh Style Hàn Quốc","121,1k",100k+,EMLYvn,17%,₫20.587,https://shopee.vn/product/129291760/26738057496,https://s.shopee.vn/8KlqmBNKER
26609048170,"Ốp Lưng iPhone TPU Chống Bẩn Lót Nhung, Bảo Vệ Camera - iP 7/8/X/XS/XR/11/12/13/14/15/16/17/Mini/Plus/Pro/Max/Air","37,5k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,20%,₫7.500,https://shopee.vn/product/89827191/26609048170,https://s.shopee.vn/AADUxYGLVo
22356026445,"Bánh tráng Phơi Sương COMBO Ú Ù AVAGI (Bánh tráng, Tóp mỡ, túi Bơ, Ruốc hành phi, sốt tắc, ớt rim)","49,0k",400k+,anvatavagi,12%,₫5.880,https://shopee.vn/product/215043735/22356026445,https://s.shopee.vn/9zu4lFGyqn
27684072392,[Tặng Sticker-Vớ] Dép Sục MERCY TRUST BASIC Classic Clog Chất Liệu EVA Êm Nhẹ Đúc Nguyên Khối Nam Nữ Size 35-43,"87,3k",20k+,TRUST VN,19%,₫16.587,https://shopee.vn/product/134952940/27684072392,https://s.shopee.vn/AUqLMAF4pu
26411792928,Bộ đùi 2 lớp thể thao tập gym yoga nữ có túi khóa 2 lưng chạy bộ,"165,0k",1k+,Chuyên sỉ lẻ quần áo thể thao.,12%,₫19.800,https://shopee.vn/product/39553085/26411792928,https://s.shopee.vn/AKWv9rFiAt
26225906639,Kem Nhuộm Tóc Tại Nhà Màu Thời Trang - Garnier Color Naturals Ultra Colors - 8 Màu Nhuộm Thời Trang,"156,0k",200k+,Garnier Official Store,9%,₫14.040,https://shopee.vn/product/421677475/26225906639,https://s.shopee.vn/9UxoAKIsrk
26277270343,【Lẩu & Cơm Tự Sôi】Haidilao Trùng Khánh Việt Nam Tứ Xuyên Không Cay An Toàn Tiện Lợi Cho Du Lịch Và Văn Phòng,"61,7k",20k+,Gia vị Haidilao,12%,₫7.404,https://shopee.vn/product/1432732243/26277270343,https://s.shopee.vn/9KeNy1JWCj
21473335559,Kem dưỡng ẩm & phục hồi đa năng La Roche-Posay Cicaplast Baume B5+ giúp phục hồi da sau 1 lần sử dụng - phiên bản 40ml,"383,0k",300k+,La Roche-Posay Chính Hãng,12%,₫45.960,https://shopee.vn/product/37251700/21473335559,https://s.shopee.vn/9paeYwHcBq
57257232206,TIPONO LM161 [Tặng Charm Ngẫu Nhiên] Dép Nữ EVA Êm Nhẹ Thoáng Khí Chống Trượt Form Xinh Tôn Dáng,"130,7k",70k+,TIPONO Store Vietnam,17%,₫22.216,https://shopee.vn/product/1448030081/57257232206,https://s.shopee.vn/9fHEMdIFWp
27725268932,"Diều cần câu, Diều TUNG SAHUR In 3D họa tiết hoạt hình dễ thương 50cmx80cm kèm cần câu và dây 30 mét","36,1k",40k+,H&H Store - 3008,10%,₫3.607,https://shopee.vn/product/543978071/27725268932,https://s.shopee.vn/6AhMCCVZdA
42868482461,[MUA 2 GIẢM 41%] Combo 1 Hũ Tẩy Da Chết Cơ Thể Cà Phê Đắk Lắk Cocoon 200ml + Túi Refill Tẩy Da Chết Cà Phê 200ml,"149,0k",100k+,Cocoon Vietnam Chính Hãng,12%,₫17.880,https://shopee.vn/product/175753395/42868482461,https://s.shopee.vn/60NvztWCy9
9177437633,"Áo Polo thể thao nam ProMax-S1, Áo thể thao đa năng Gym Chạy bộ Pickleball Tennis thoáng khí thấm hút Coolmate","205,0k",200k+,Coolmate - Official Store,10%,₫20.500,https://shopee.vn/product/24710134/9177437633,https://s.shopee.vn/6VKCaoUIxG
20384964747,BỘ THUN LẠNH TAY NGẮN QUẦN NGẮN CHO BÉ TRAI BÉ GÁI,"65,0k",100k+,CHUCHOE BABY,20%,₫13.000,https://shopee.vn/product/137184188/20384964747,https://s.shopee.vn/6L0mOVUwIF
2886923535,Nồi Hấp Inox Đa Năng 20cm,"60,0k",20k+,SIÊU THỊ MINI 247,14%,₫8.400,https://shopee.vn/product/32915930/2886923535,https://s.shopee.vn/5VRfOyY6z6
9521532868,[NHÃN MỚI CFS] Dầu dừa súc miệng Cofusions hương bạc hà thơm mát 225ml/ chai,"72,0k",300k+,Vietcoco - Tinh Hoa Dừa Việt,14%,₫10.080,https://shopee.vn/product/60414205/9521532868,https://s.shopee.vn/5L8FCfYkK5
26766704210,[ TẶNG CHARM ] Dép Sục Quai Hậu Thời Trang Chất Liệu EVA Không Mùi Êm Nhẹ Size 36 - 43 Không Thấm Nước - QH3 ANYA STORE,"91,8k",60k+,ANYA.STOREVN,15%,₫13.770,https://shopee.vn/product/119934786/26766704210,https://s.shopee.vn/5q4VnaWqJC
24771172800,[MUA 2 GIẢM 45%] Combo Nước tẩy trang bí đao 500ml & Gel rửa mặt bí đao 310ml tẩy sạch makeup & giảm dầu Cocoon,"598,0k",200k+,Cocoon Vietnam Chính Hãng,12%,₫71.760,https://shopee.vn/product/175753395/24771172800,https://s.shopee.vn/5fl5bHXTeB
29376043964,"Áo Khoác Chống Nắng Umi Su Cao Cấp, Áo nữ dày dặn,(túi trong có khóa kéo) Form Dài Xoè Trẻ Trung Chống Tia UV_ ROSE GOLD","129,3k",30k+,MANU STUDIO,11%,₫14.223,https://shopee.vn/product/1254293152/29376043964,https://s.shopee.vn/7VCjmeQUvY
52507652210,"[ Mừng SN Elmich - Chỉ 99k ]Chảo chống dính Ceramic Elmich Daily size 24, 26cm","299,0k",6k+,Elmich Việt Nam Chính Hãng,12%,₫35.880,https://shopee.vn/product/254666730/52507652210,https://s.shopee.vn/7KtJaLR8GX
40469885344,Sữa tắm Lifebuoy Thiên nhiên Detox Và Chăm Sóc Chuyên Sâu 800g,"193,0k",100k+,Unilever - Chăm Sóc Cá Nhân,12%,₫23.160,https://shopee.vn/product/111138057/40469885344,https://s.shopee.vn/7ppaBGPEFe
14613920375,[Rom&nd] Son Tint lì cho môi căng mọng Hàn Quốc Romand Juicy Lasting Tint 5.5g,"199,0k",600k+,Romand_Official Store,12%,₫23.880,https://shopee.vn/product/590427230/14613920375,https://s.shopee.vn/7fW9yxPrad
26522826081,[BW Gift mới] Sữa rửa mặt Simple sạch sâu hiệu quả - cho da thường 50ml,"200,0k",10k+,Unilever Chăm Sóc Sắc Đẹp,4%,₫8.000,https://shopee.vn/product/1397276155/26522826081,https://s.shopee.vn/6px2zQT2HU
24789253886,"Bông Mút Trang Điểm 100 Amortals, Dày 4MM  Đàn Hồi Cao, Tăng Khả Năng Che Phủ, Giúp Lớp Nền Mịn Mướt, Kèm Hộp Bảo Quản","89,0k",100k+,Amortals Official Store,10%,₫8.900,https://shopee.vn/product/1405676280/24789253886,https://s.shopee.vn/6fdcn7TfcT
24127826015,"Kem dưỡng Cao cấp Five Grains trắng da Niacinamide, Alpha-Arbutin nâng tone ban ngày 200ML","159,0k",600k+,Five Grains Vietnam,12%,₫19.080,https://shopee.vn/product/562490219/24127826015,https://s.shopee.vn/7AZtO2Rlba
46757386844,Áo choàng tơ khoác vai chất liệu tơ lụa dưới 60kg KINI-Style,"82,8k",6k+,KINI_Style,17%,₫14.069,https://shopee.vn/product/1119258612/46757386844,https://s.shopee.vn/70GTBjSOwZ
28919289039,"[MÀU MỚI 2026] Áo thun nữ cổ bẻ phối dây kéo DAZZI , áo polo nữ ôm dáng vải cotton mịn DAZZI A022","73,0k",70k+,Dazzi Brand,19%,₫13.870,https://shopee.vn/product/852388548/28919289039,https://s.shopee.vn/3Vgb1Ifj2u
41319147630,"Set Bộ Tole Đùi Viền Bèo Áo Baby Doll, Set Bộ Mặc Nhà Tole - HN CLOSET","119,0k",50k+,HN Closet,9%,₫10.710,https://shopee.vn/product/506105276/41319147630,https://s.shopee.vn/3LNAozgMNt
43075630111,"Vòng Lắc Eo Lò Xo Bọc Vải Mềm DƯƠNGSPORT Tập Thể Dục, Tập Gym, Tập Yoga Tại Nhà 1,5kg 2kg 2,5kg","175,0k",100k+,DƯƠNG SPORT,12%,₫21.000,https://shopee.vn/product/65471867/43075630111,https://s.shopee.vn/3qJRPueSN0
29114454454,Cà Phê Ủ Lạnh Cold Brew Hạt Arabica Nguyên Chất Nốt Hương Trái Cây Nhiệt Đới Scafe Việt Nam,"195,0k",100k+,Scafe Việt Nam ,"10,5%",₫19.500,https://shopee.vn/product/1262211884/29114454454,https://s.shopee.vn/3g01Dbf5hz
28883412257,"( KÈM MÚT) Áo ba lỗ nữ cotton mát BYJANE ( Từ 39kg-62Kg) áo 2 dây bản to, áo tanktop co dãn 4 chiều phù hợp đi tập-012","46,3k",80k+,BYJANE.HN,15%,₫6.945,https://shopee.vn/product/1514216378/28883412257,https://s.shopee.vn/2qQuE4iGOq
43655978916,Bộ 10 Miếng Dán Tóc Cố Định Thời Trang Hàn Quốc Đa Dạng Màu Sắc Lio,"9,0k",40k+,LIO Accessories,13%,₫1.170,https://shopee.vn/product/1520209510/43655978916,https://s.shopee.vn/2g7U1litjp
25706226028,Sữa Rửa Mặt Dịch Lọc Ốc Sên Làm Dịu Và Phục Hồi Dành Cho Da Nhạy Cảm TIA’M Snail & Azulene LowpH Cleanser,"239,0k",100k+,TIA'M VIỆT NAM,4%,₫9.560,https://shopee.vn/product/856387787/25706226028,https://s.shopee.vn/3B3kcggziw
29650093802,Kem nền bắt sáng Superstay Lumi Matte 30H che phủ siêu nhẹ mặt Maybelline New York 35ml [MỚI],"279,0k",700k+,Maybelline Official Store,9%,₫25.110,https://shopee.vn/product/37252407/29650093802,https://s.shopee.vn/30kKQNhd3v
28639315388,Áo babydoll linen kiểu xinh tay phồng tiểu thư công chúa bo thân nơ coquette ngực xinh xắn- Gucar,"33,0k",30k+,GUCAR FASHION,9%,₫2.970,https://shopee.vn/product/615745901/28639315388,https://s.shopee.vn/4qBybkaeLI
17199358548,Chăn Hè Cotton Đũi Hàn Quốc kích thước 1m8x2m mền hè đũi siêu mát lạnh mùa hè,"102,0k",200k+,Xưởng Chăn Ga Bedding Drap,6%,₫6.120,https://shopee.vn/product/120420833/17199358548,https://s.shopee.vn/4fsYPRbHgH
49952077499,"Thảm lau chân nỉ lì dễ thương 40x60cm, chống trơn trượt decor phòng khách phòng ngủ - BEEMAT BT01","9,9k",20k+,BEE MAT,12%,₫1.188,https://shopee.vn/product/1650619433/49952077499,https://s.shopee.vn/5Aop0MZNfO
591989399,"[AMINO MICELLAR MỚI] Nước tẩy trang làm sạch sâu, loại bỏ bụi bẩn & trang điểm 3-in-1 L'Oreal Paris Micellar Water 400ml","185,0k",3tr+,L'Oreal Paris Official Store,9%,₫16.650,https://shopee.vn/product/37251933/591989399,https://s.shopee.vn/50VOo3a10N
24669395481,ÁO THUN BABY TEE TRƠN FULL BẢNG MÀU BST2026 DỄ PHỐI ĐỒ,"55,0k",100k+,Genz! Shop,17%,₫9.350,https://shopee.vn/product/232774765/24669395481,https://s.shopee.vn/4AwHoWdBhE
2197873041,"Hạt Chia Mẹ rô. Có hồ sơ công bố, Xuất hóa đơn công ty đầy đủ","59,0k",100k+,THỰC PHẨM SẠCH MẸ RÔ SỐ 1,14%,₫8.260,https://shopee.vn/product/104828612/2197873041,https://s.shopee.vn/40crcDdp2D
41420326979,"MB-SET-013 Maybee.Homedress Bộ Ngủ Kẻ Sọc Dài Tay Viền Đen – Chất Vải Mềm Mịn, Thanh Lịch, Thoải Mái","186,0k",100k+,Maybee.Homedress,14%,₫26.040,https://shopee.vn/product/1363262862/41420326979,https://s.shopee.vn/4VZ8D8bv1K
27261707625,"Bình giữ nhiệt XCUP NIUMI ống hút mới, INOX 316, dung tích 600ml, màu gradient dành cho học sinh, sinh viên","125,0k",50k+,NIUMI ,4%,₫5.000,https://shopee.vn/product/513667400/27261707625,https://s.shopee.vn/4LFi0pcYMJ
22990648102,[MUA 2 GIẢM 40%] Combo 2 Mặt Nạ Nghệ Hưng Yên Giúp Sáng Da Và Mờ Thâm Cocoon 30ml,"183,0k",500k+,Cocoon Vietnam Chính Hãng,12%,₫21.960,https://shopee.vn/product/175753395/22990648102,https://s.shopee.vn/qfpqOpsSe
24121884423,Xịt Khóa makeup Nền DAZZLE ME Setting Spray Dewy Fix Cố Định Trang Điểm Lâu Trôi Cấp Ẩm 60ml,"77,4k",200k+,DAZZLE ME Vietnam Official,14%,₫10.839,https://shopee.vn/product/1083133712/24121884423,https://s.shopee.vn/gMPe5qVnd
11948043847,[ Rẻ nhất ]3509 1k dây cuốn sạc giá rẻ vuhungtuong1942,"1,0k",1,tran_ham4849,4%,₫40,https://shopee.vn/product/470615596/11948043847,https://s.shopee.vn/1BIgF0obmk
12447128708,"Yến mạch ONFOD cán dẹt cán vỡ, ngũ cốc giảm cân healthy cho người ăn kiêng tập gym 500g","48,0k",200k+,ONFOD - THỰC PHẨM HỮU CƠ,6%,₫2.880,https://shopee.vn/product/358413074/12447128708,https://s.shopee.vn/10zG2hpF7j
25914646570,Quần Kaki Jeans ống suông Ver 1  Calem Club nhiều màu tôn dáng form unisex nam nữ,"179,0k",700k+,CALEM.CLUB,14%,₫25.060,https://shopee.vn/product/10909571/25914646570,https://s.shopee.vn/BQ93AsPoa
26954689304,[DAILY] Sữa Tắm Lifebuoy 800gr Detox Sạch Sâu Khỏi Bụi Mịn Pm2.5 100% Từ Thiên Nhiên Hasaki,"175,0k",90k+,HASAKI VIETNAM,4%,₫7.000,https://shopee.vn/product/18644537/26954689304,https://s.shopee.vn/16iqrt39Z
55257553610,[NE73] Dép NESTY EVA Dép Bánh Mì Siêu Nhẹ – Dép Sục Thoáng Khí Chống Trượt Đi Mưa Đi Chơi,"175,0k",5k+,Nesty Official Store,17%,₫29.750,https://shopee.vn/product/1113586002/55257553610,https://s.shopee.vn/W2zRmr98g
27736593479,"EMLYvn - Áo Sơ Mi Kiểu Nữ Vải Đũi Xước Mềm Mịn Ít Nhăn Fom Rộng, Áo Sơ Mi Đũi Nữ Màu Pastel Hàn Quốc","135,3k",60k+,EMLYvn,17%,₫23.001,https://shopee.vn/product/129291760/27736593479,https://s.shopee.vn/LjZFTrmTf
9964694629,Đèn LED USB,"2,0k",1k+,vhuylt,4%,₫80,https://shopee.vn/product/49739578/9964694629,https://s.shopee.vn/2BBDQqknl2
40151295312,Kẹp Tóc Nơ Hai Mặt Tạo Bong Bóng🍀FREESHIP🍀Kẹp Tóc Càng Cua Đính Ngọc Trai Sang Trọng Thời Trang,"9,4k",80k+,MILK'S SHOPP,9%,₫847,https://shopee.vn/product/1458984824/40151295312,https://s.shopee.vn/20rnEXlR61
41229847172,"[NE503] [Tặng Charm] Dép Sục NESTY Màu Hồng Loang Êm Nhẹ, Chống Trơn Trượt","136,5k",1k+,Nesty Official Store,17%,₫23.208,https://shopee.vn/product/1113586002/41229847172,https://s.shopee.vn/2Vo3pSjX58
24923899517,"[Combo3] Găng Tay Chống Nắng PRO UPF50+ Cao Cấp UPPER YOU Xỏ Ngón, Không Xỏ Ngón Thun Lạnh Co Giãn 4 Chiều - OTX01/OTK01","49,0k",100k+,Upper You ,17%,₫8.330,https://shopee.vn/product/834756665/24923899517,https://s.shopee.vn/2LUdd9kAQ7
28226687022,"Bọt Rửa Mặt Amortals Làm Sạch Sâu, Nở To Khi Gặp Nước, Dịu Nhẹ Cho Mọi Loại Da","54,0k",200k+,Amortals Official Store,10%,₫5.400,https://shopee.vn/product/1405676280/28226687022,https://s.shopee.vn/1VvWdcnL6y
1566936005,Sữa rửa mặt dưỡng ẩm tối ưu Hada Labo Advanced Nourish Cleanser 80g,"75,0k",400k+,HADA LABO CHÍNH HÃNG,9%,₫6.750,https://shopee.vn/product/95753434/1566936005,https://s.shopee.vn/1Lc6RJnyRx
16589664533,"(Mua 2 giảm còn 13.800đ) Kính Cường Lực iPhone Trong Suốt Full Màn Viền Đen 17,16,15,14,13..","15,0k",100k+,Linh Trang Shop (Phụ Kiện),8%,₫1.200,https://shopee.vn/product/85794847/16589664533,https://s.shopee.vn/1qYN2Em4R4
1961054872,Máy hàn Jasic 250A-Máy hàn Jasic 250A,"139,9k",0,giataikho,4%,₫5.596,https://shopee.vn/product/130450008/1961054872,https://s.shopee.vn/1gEwpvmhm3
19382406128,[99k/7H mi] Mi Giả  Eyes Bling có sẵn keo tự nhiên tái sử dụng được nhiều lần,"30,0k",80k+,Mi Giả Eyes Bling,14%,₫4.200,https://shopee.vn/product/1041771224/19382406128,https://s.shopee.vn/901XZPKmtU
