Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
28956815404,Quạt tích điện cầm tay 100 cấp độ,79000,100k+,,,,https://shopee.vn/product/76448301/28956815404,https://s.shopee.vn/1qYN4Z7AJ6
25834872656,Máy Hút Bụi Cầm Tay TAMASHIO 6 đầu hút,239000,100k+,,,,https://shopee.vn/product/1298159892/25834872656,https://s.shopee.vn/8KlqoXSyAw
26226208771,Máy Hút Bụi TAMASHIO Nhật Bản 6 đầu,186000,100k+,,,,https://shopee.vn/product/1055813398/26226208771,https://s.shopee.vn/9zu4ncfGNw
21494586018,Khẩu Trang 5D Tấn Phát Combo 100 cái,30000,900k+,,,,https://shopee.vn/product/577452794/21494586018,https://s.shopee.vn/60Nw2Irxrn
26835798547,Áo Điều Hòa KAW Làm Mát Cơ Thể Quạt Gió 2 Chiều,846000,6k+,,,,https://shopee.vn/opaanlp/1468331502/26835798547,https://s.shopee.vn/8KlrDmPx3G
