Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
2820087763,Nước giặt OMO Matic Hương Nước Hoa Comfort 4.1KG (túi),"251,0k",1tr+,Unilever - Chăm sóc Gia đình,6%,₫15.060,https://shopee.vn/product/26947756/2820087763,https://s.shopee.vn/808izgz8rA
29114253906,Khẩu Trang Chống Nắng UPF50+ Chống UV UPPER YOU Chất Lụa Băng Mịn Mát Thoáng Khí - FM03,"67,9k",100k+,Upper You ,17%,₫11.543,https://shopee.vn/product/834756665/29114253906,https://s.shopee.vn/8AS9BzyVWD
3431453055,"Combo 3 quần lót nam dáng Trunk Bamboo mềm mại, kháng khuẩn, thấm hút tốt Coolmate","209,3k",600k+,Coolmate - Official Store,10%,₫20.930,https://shopee.vn/product/24710134/3431453055,https://s.shopee.vn/8KlZOIxsBG
41528533651,Ốp Lưng Iphone Silicon Dẻo Camera Nhám Mờ Nâng Cấp Lên IP 17 11/12/13/14/15/16/17/pro/max/plus/promax - Awifi X5-1,"27,9k",10k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,14%,₫3.906,https://shopee.vn/product/7669738/41528533651,https://s.shopee.vn/8V4zabxEqJ
28576052647,"[SIÊU TO, CAO CẤP] Giấy vệ sinh treo tường TopGia thùng 10 12 8 6 bịch đa sắc, combo tiết kiệm 1280 tờ","130,0k",100k+,TopGia HCM Store,13%,₫16.900,https://shopee.vn/product/1016604648/28576052647,https://s.shopee.vn/8fOPmuwbVM
19094143072,Bỉm Bejoyle tã quần chính hãng cho bé 52 miếng – size S/M/L/XL/XXL/XXXL,"159,9k",900k+,Bejoyle Việt Nam,14%,₫22.382,https://shopee.vn/product/1049923817/19094143072,https://s.shopee.vn/8phpzDvyAP
48504027170,TIPONO LM142 Dép Quai Ngang Unisex EVA Tổ Ong Êm Nhẹ Thoáng Khí Chống Trơn Size 36-44,"128,1k",100k+,TIPONO Store Vietnam,17%,₫21.771,https://shopee.vn/product/1448030081/48504027170,https://s.shopee.vn/901GBWvKpS
28965771864,Quạt mini GOOJODOQ quạt cầm tay đa chức năng ba trong một có đế có thể tháo rời,"96,8k",20k+,GOOJODOQ OFFICIAL SHOP,13%,₫12.584,https://shopee.vn/product/1356437574/28965771864,https://s.shopee.vn/9AKgNpuhUV
25587262729,"Thùng 10 Bịch Giấy Treo Đa Năng SIPIAO Hoa Mẫu Đơn, Khăn Rút Treo Trường 5 Lớp mỗi bịch 1000 Tờ Loại 1","64,9k",60k+,Tổng kho giấy rút treo tường,9%,₫5.841,https://shopee.vn/product/340284850/25587262729,https://s.shopee.vn/1Lbp3ROWO0
29513597681,Bình giữ nhiệt khắc tên Fan House bình nước giữ nhiệt 12h inox 316 ống hút tiện lợi 710ml tặng charm,"125,0k",40k+,FAN HOUSE MALL,6%,₫7.500,https://shopee.vn/product/905004672/29513597681,https://s.shopee.vn/1VvFFkNt33
13898601857,[ Tặng Kính Râm ] Áo Chống Nắng Toàn Thân Dành Cho Nữ Vải Cotton Cao Cấp Chống Tia UV,"263,3k",100k+,August.2002,15%,₫39.501,https://shopee.vn/product/58305892/13898601857,https://s.shopee.vn/1gEfS3NFi6
4812682396,"Kính Cường Lực Chống Nhìn Trộm Có Khung Tự Dán, Trong Suốt -iPhone 7/8/Plus/X/XS/XR/11/12/13/14/15/16/17Pro/Max/Mini/Air","16,5k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,23%,₫3.795,https://shopee.vn/product/89827191/4812682396,https://s.shopee.vn/1qY5eMMcN9
24491019937,"Khăn giấy vệ sinh treo tường Tiểu Hạ 1000 tờ làm từ bột gỗ thiên nhiên, an toàn, 6 bịch hoặc 10 bịch","100,0k",2tr+,TopGia HCM,12%,₫12.000,https://shopee.vn/product/729014007/24491019937,https://s.shopee.vn/20rVqfLz2C
25893429002,"Quạt Treo Tường Mini 3 Cánh, Quạt Cắm Điện Xoay 360 Độ Để Nhà Bếp Nhà Tắm Tiện Lợi, Quạt Nhỏ Gọn Công Suất Lớn Siêu Mát","58,0k",5k+,Kho Hàng Gia Dụng Thảo Nhi,14%,₫8.120,https://shopee.vn/product/1023406622/25893429002,https://s.shopee.vn/2BAw2yLLhF
20567055749,[CHÍNH HÃNG ĐỘC QUYỀN] Smoothie Tẩy Tế Bào Chết Body Dove Chăm Da Sáng Mịn 298g/280g,"171,0k",700k+,Unilever - Chăm Sóc Cá Nhân,12%,₫20.520,https://shopee.vn/product/111138057/20567055749,https://s.shopee.vn/2LUMFHKiMI
29266153808,Ốp Lưng Iphone TPU hoa tiết da mềm basic 6/6splus/7/8/plus/x/xs/11/12/13/14/15/16/pro/max/plus/promax -Awifi Case A3-7,"13,9k",80k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,14%,₫1.946,https://shopee.vn/product/7669738/29266153808,https://s.shopee.vn/2VnmRaK51L
