Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
40104651120,"Dép Tổ Ong Eva - Dép Nam Nữ Gắn Sticker Ngẫu Nhiên Dễ Thương, Dép Đi Trong Nhà, Nhà Tắm Văn Phòng","62,0k",70k+,SURO VN,17%,₫10.540,https://shopee.vn/product/114512014/40104651120,https://s.shopee.vn/10zG2dBGdD
23443887689,Xịt mọc tóc Lab on Hair 160ml xịt dưỡng tóc với giấm táo Kích thích mọc tóc Rụng Tóc,"135,0k",100k+,Lab On Hair Official Store ,10%,₫13.500,https://shopee.vn/product/947126326/23443887689,https://s.shopee.vn/1VvWdY9McK
42466018491,Ốp Lưng iPhone TPU Đệm Nhung Chống Bẩn Bảo Vệ Camera 6/6plus/7/8/plus/x/xs/11/12/13/14/15/16/17/pro/plus/promax  R1-2,"34,9k",80k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,14%,₫4.886,https://shopee.vn/product/7669738/42466018491,https://s.shopee.vn/1Lc6RF9zxJ
25587262729,"Thùng 10 Bịch Giấy Treo Đa Năng SIPIAO Hoa Mẫu Đơn, Khăn Rút Treo Trường 5 Lớp mỗi bịch 1000 Tờ Loại 1","65,0k",60k+,Tổng kho giấy rút treo tường,9%,₫5.850,https://shopee.vn/product/340284850/25587262729,https://s.shopee.vn/1qYN2A85wQ
29114253906,Khẩu Trang Chống Nắng UPF50+ Chống UV UPPER YOU Chất Lụa Băng Mịn Mát Thoáng Khí - FM03,"66,9k",100k+,Upper You ,17%,₫11.373,https://shopee.vn/product/834756665/29114253906,https://s.shopee.vn/1gEwpr8jHP
48504027170,TIPONO LM142 Dép Quai Ngang Unisex EVA Tổ Ong Êm Nhẹ Thoáng Khí Chống Trơn Size 36-44,"128,1k",100k+,TIPONO Store Vietnam,17%,₫21.771,https://shopee.vn/product/1448030081/48504027170,https://s.shopee.vn/2BBDQm6pGW
57555754369,Ốp Lưng Iphone Silicon Dẻo Camera Nhám Mờ Nâng Cấp Lên IP 17 11/12/13/14/15/16/17/pro/max/plus/promax - Awifi X5-1,"33,0k",10k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,14%,₫4.620,https://shopee.vn/product/7669738/57555754369,https://s.shopee.vn/20rnET7SbV
28576052647,"[SIÊU TO, CAO CẤP] Giấy vệ sinh treo tường TopGia thùng 10 12 8 6 bịch đa sắc, combo tiết kiệm 1280 tờ","130,0k",100k+,TopGia HCM Store,13%,₫16.900,https://shopee.vn/product/1016604648/28576052647,https://s.shopee.vn/2Vo3pO5Yac
8675360402,"COMBO TIẾT KIỆM (1kg-3kg) Yến Mạch Cán Dẹt 0.9mm DK Harvest -Nhập Khẩu Úc | Ngũ Cốc Dinh Dưỡng, eatclean","58,0k",400k+,DK HARVEST OFFICIAL STORE,14%,₫8.120,https://shopee.vn/product/273650958/8675360402,https://s.shopee.vn/2LUdd56Bvb
20567055749,[CHÍNH HÃNG ĐỘC QUYỀN] Smoothie Tẩy Tế Bào Chết Body Dove Chăm Da Sáng Mịn 298g/280g,"175,0k",800k+,Unilever - Chăm Sóc Cá Nhân,12%,₫21.000,https://shopee.vn/product/111138057/20567055749,https://s.shopee.vn/8ASQZnjz5k
