Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
28423382158,HÀNG TẶNG KHÔNG BÁN - Trial size - Sữa rửa mặt sen Hậu Giang Cocoon 50ml,"74,0k",100k+,Cocoon Vietnam Chính Hãng,12%,₫8.880,https://shopee.vn/product/175753395/28423382158,https://s.shopee.vn/8fOhAqGRcv
11709341987,BỘ NGỦ NỮ CAXA 🦋 SET PIJAMA MẶC NHÀ 2 MÀU XANH CAM🦋,"27,5k",100k+,NASU MAY -XƯỞNG MAY THỜI TRANG,9%,₫2.475,https://shopee.vn/product/30142553/11709341987,https://s.shopee.vn/9AKxllEXc2
42811592099,[QUÀ TẶNG KHÔNG BÁN] 1 Gói Dùng Thử 20ml Nước Xả Vải Đậm Đặc Hygiene - Dịu Êm,"500,0k",100k+,I.P. ONE Vietnam,4%,₫20.000,https://shopee.vn/product/1479423124/42811592099,https://s.shopee.vn/901XZSFAx1
13976167937,[THE SAEM] Che khuyết điểm chống nắng che phủ cao THE SAEM Cover Perfection Tip Concealer,"116,0k",200k+,the SAEM Official Store,14%,₫16.240,https://shopee.vn/product/208011437/13976167937,https://s.shopee.vn/8ASQZvILds
16401457016,Sữa Rửa Mặt Tạo Bọt Tơ Tằm Dưỡng Ẩm Làm Sạch Sâu Cỏ Mềm 150ml,"95,0k",200k+,Cỏ Mềm Official Store,9%,₫8.550,https://shopee.vn/product/134371556/16401457016,https://s.shopee.vn/8090NcIyyr
49507483380,Set 2 Áo Yếm Chấm Bi Dáng Bí Mix Áo Tay Bồng Tiểu Thư,"67,0k",3k+,SuSii Store,9%,₫6.030,https://shopee.vn/product/906252776/49507483380,https://s.shopee.vn/8V5GyXH4xy
26623481688,Băng đô thể thao Headband chặn mồ hôi thấm hút Today U Wear,"59,0k",40k+,Today U Wear,10%,₫5.900,https://shopee.vn/product/27395297/26623481688,https://s.shopee.vn/8KlqmEHiIx
1812939717,"[DAILY] Nước Tẩy Trang L'oreal Dành Cho Da Dầu, Da Nhạy Cảm, Làm Sạch Trang Điểm 400ml Hasaki","98,0k",800k+,HASAKI VIETNAM,4%,₫3.920,https://shopee.vn/product/18644537/1812939717,https://s.shopee.vn/2BBDQtfBom
4317253529,Dung dịch loại bỏ tế bào chết giảm mụn Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant 30ml 2016,"400,0k",200k+,Paula's Choice Official Store,12%,₫48.000,https://shopee.vn/product/212004800/4317253529,https://s.shopee.vn/20rnEafp9l
26026184103,"Áo Thun Nữ Ôm Body JUSTDUN B18 Cổ Tròn Tay Ngắn, Cotton Mịn Co Giãn 4 Chiều, Mềm Mại Thoáng Khí","39,0k",200k+,JUSTDUN,"15,1%",₫5.850,https://shopee.vn/product/16848981/26026184103,https://s.shopee.vn/2Vo3pVdv8s
28456292392,"[COMBO 5] x Chổi Vệ Sinh Quạt, Cọ Rửa Xe Máy Xe Đạp Đa Năng- Chổi Phủi Bụi Vệ Sinh Bàn Phím Lau Khe Hẹp Cửa Sổ Tiện Lợi","9,9k",100k+,HUHA Online Store,7%,₫693,https://shopee.vn/product/26282978/28456292392,https://s.shopee.vn/2LUddCeYTr
23708645429,[CHÍNH HÃNG] BỈM HUGGIES NATURE MADE CÁC SIZE NB60/S82/M64/L54/XL38/XXL26,"168,0k",30k+,Góc cho bé,10%,₫16.800,https://shopee.vn/product/272506112/23708645429,https://s.shopee.vn/1VvWdfhjAi
47005809297,MỚI! Kem dưỡng ẩm Garnier kết cấu ráo mịn như Mochi cấp ẩm 48H cho da căng mịn 50ml - Garnier Dry Touch Cream 50ml,"219,0k",40k+,Garnier Official Store,9%,₫19.710,https://shopee.vn/product/421677475/47005809297,https://s.shopee.vn/1Lc6RMiMVh
26416966997,Áo Lót Áo Bra Nữ Visecret Bra Chất Su Mỏng Không Gọng Mút Giọt Nước Dày 3CM Thoáng Khí Không Lộ Viền -- 241050,"147,0k",800k+,VISECRET_BRA,17%,₫24.990,https://shopee.vn/product/1190625065/26416966997,https://s.shopee.vn/1qYN2HgSUo
27060254320,"Son tint bóng căng mọng, trong trẻo BBIA Glow Tint (3.2g)","169,0k",100k+,Bbia Official Store,10%,₫16.900,https://shopee.vn/product/9277307/27060254320,https://s.shopee.vn/1gEwpyh5pn
28194423713,"Trà Tiêu Thực - Thanh nhẹ cơ thể - giảm tích trệ bụng, eo, giúp nhẹ bụng dễ tiêu - Lương Y Hạnh Phúc","170,0k",10k+,Lương Y Hạnh Phúc,21%,₫35.700,https://shopee.vn/product/1307410106/28194423713,https://s.shopee.vn/qfpqRkGWe
26993895490,"Dung Dịch Vệ Sinh Đáy Nồi, Nhọ Nồi, Vết Bẩn Cứng Đầu Trên Xoong Nồi lâu ngày dqh 088","18,8k",20k+,BOBBO SHOP,10%,₫1.882,https://shopee.vn/product/305756687/26993895490,https://s.shopee.vn/gMPe8ktrd
40814930411,"Khay trồng mầm giá đỗ , Dụng cụ trồng trọt không đất Đĩa nảy mầm thủy canh, Khay trợ giúp trồng mầm có thể tái sử dụng","15,9k",70k+,neosure123,9%,₫1.431,https://shopee.vn/product/188141640/40814930411,https://s.shopee.vn/1BIgF3izqk
40065308366,THE QUẠO - Quần Short ngắn nữ chất liệu Jean mềm dáng ngắn trên gối phong cách S2208_705,"139,0k",70k+,THE QUẠO,9%,₫12.510,https://shopee.vn/product/118292728/40065308366,https://s.shopee.vn/10zG2kjdBj
14214354087,"[Sinh Tố Trái Cây] Vina Mứt 1000 ml - Chuyên Dùng Pha Chế Trà Sữa, Trà Trái Cây, Sinh Tố, Sữa Chua, Panna Cotta,...","83,0k",90k+,San Hô Xanh,12%,₫9.960,https://shopee.vn/product/226010740/14214354087,https://s.shopee.vn/BQ93Dmnsa
27753244228,Hộp đựng thực phẩm để cánh cửa tủ lạnh tiện dụng,"7,7k",50k+,Tổng kho An Vũ,9%,₫693,https://shopee.vn/product/163364638/27753244228,https://s.shopee.vn/16iqunRDZ
42304123768,"Điện thoại OPPO A3x 6GB/128GB có nhân bản ứng dụng, 2 sim, sạc nhanh 45W - Hàng chính hãng","4,3tr",2k+,OPPO Brand Store,4%,₫171.600,https://shopee.vn/product/1010119411/42304123768,https://s.shopee.vn/W2zRplXCg
42554812002,Lista Áo Polo Nữ Thêu Nơ cổ phối điệu đà - Cotton tổ ong sang trọng thanh lịch size tới 85 Kg (M18),"83,4k",100k+,Lista_fashion,17%,₫14.181,https://shopee.vn/product/405096655/42554812002,https://s.shopee.vn/LjZFWmAXf
26652914902,[Combo 2 quần] Quần Ống Rộng Chất Đũi Cạp Chun Lưng Cao dài 100-104cm phong cách nhật bản Lên Dáng Siêu Xinh,"25,4k",100k+,Xưởng May Song Anh,14%,₫3.556,https://shopee.vn/product/151578259/26652914902,https://s.shopee.vn/4qBybnV2PY
23492531547,"COMBO 10k Kẹp Tóc, Kẹp mái bẻ nhiều màu dễ thương cao cấp","10,0k",20k+,Sỉ Đồ Giá Gốc,17%,₫1.700,https://shopee.vn/product/108225307/23492531547,https://s.shopee.vn/4fsYPUVfkX
49659041723,"[TẶNG KÈM THẺ] Thẻ bảo hành 2 năm sản phẩm áo điều hoà nhật bản, làm mát cực nhanh, chất liệu cao cấp","6,9k",1k+,Gia Dụng KT - Shopping 247,10%,₫690,https://shopee.vn/product/1633525580/49659041723,https://s.shopee.vn/5Aop0PTlje
28733253030,Áo Thun Nữ Thắt Eo Ôm Body BYJANE chất cotton trơn co dãn 4 chiều Women (Từ 39kg-65kg) BYJANE - 315,"53,9k",100k+,BYJANE.HN,15%,₫8.085,https://shopee.vn/product/1514216378/28733253030,https://s.shopee.vn/50VOo6UP4d
28972755369,Túi Rác Sumi Có Dây Rút Tiện Lợi Xinh Xắn Bền Bỉ Chắc Chắn Chống Côn Trùng,"9,0k",10k+,Sumi Official Store.,13%,₫1.170,https://shopee.vn/product/889539500/28972755369,https://s.shopee.vn/4AwHoZXZlU
48104000773,"Điện thoại OPPO A5x 4GB/128GB có NFC, nhân bản ứng dụng - Hàng chính hãng","4,0tr",926,OPPO Official Store,4%,₫158.400,https://shopee.vn/product/25452983/48104000773,https://s.shopee.vn/40crcGYD6T
24780116760,"Bộ 2 Bát Sứ Kèm 2 Thìa Mặt Cười, Bát Heo Hồng, Bát Cún, Bát Mèo Hàng Loại 1 Bát ăn dặm cho bé siêu đáng yêu","24,0k",40k+,Đồ Dùng Thông Minh Gia Đình,6%,₫1.440,https://shopee.vn/product/442499962/24780116760,https://s.shopee.vn/4VZ8DBWJ5a
28807093824,"Áo Thun Nữ Ôm Body JUSTDUN E44 – Cổ Trụ Tàu Tay Ngắn, Vải Cotton Mềm Mịn Co Giãn 4 Chiều, Thoáng Mát","57,4k",100k+,JUSTDUN,9%,₫5.169,https://shopee.vn/product/16848981/28807093824,https://s.shopee.vn/4LFi0sWwQZ
26433379450,"Hộp Mặt Nạ KEYSHU 10 Miếng 30ML Dưỡng Ẩm, Làm Mềm Da, Hỗ Trợ Ngăn Ngừa Lão Hóa","99,0k",30k+,KEYSHU VIỆT NAM,14%,₫13.860,https://shopee.vn/product/1419944621/26433379450,https://s.shopee.vn/3Vgb1La77Q
46755262436,"Dầu gội phủ bạc Nezha 400ml chính hãng. Dầu gội nhuộm tóc ĐEN, NÂU bền màu. Dưỡng Tóc Chăm Sóc Tóc Nam Nữ","75,0k",10k+,Nezha VN,16%,₫12.000,https://shopee.vn/product/1609976842/46755262436,https://s.shopee.vn/3LNAp2akSP
44210467459,"Cây gãi lưng bằng thép không gỉ, có thể thu ngắn lại 50cm","9,0k",10k+,Phuc khang23.store,7%,₫630,https://shopee.vn/product/1374665744/44210467459,https://s.shopee.vn/3qJRPxYqRW
44657519511,Áo Cổ Sen Tay Bồng Bèo Dưới Xếp Ly A860 Su Chang Thời Trang Nữ,"180,0k",10k+,SU CHANG,"17,01%",₫30.600,https://shopee.vn/product/13517648/44657519511,https://s.shopee.vn/3g01DeZTmV
531577271,[DAILY] Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g Hasaki Sản Phẩm Chính Hãng,"75,0k",300k+,HASAKI VIETNAM,4%,₫3.000,https://shopee.vn/product/18644537/531577271,https://s.shopee.vn/2qQuE7ceTM
41706594177,"Bình Nước Lõi Thủy Tinh Bọc Nhựa 320ml, Bình Nước Trẻ Em - Chai Vỏ Nhựa Lõi Thủy Tinh","19,0k",20k+,Thảo Phương gia dụng thôngminh,6%,₫1.140,https://shopee.vn/product/68102401/41706594177,https://s.shopee.vn/2g7U1odHoL
